feature,channel,window_start_ms,window_end_ms,window_label,importance_value,model_name,importance_method
PO8_100_200ms,PO8,100,200,100-200 ms,0.013649691227218264,SVM,permutation_average_precision
PO7_100_200ms,PO7,100,200,100-200 ms,0.07809204058121899,SVM,permutation_average_precision
PO3_100_200ms,PO3,100,200,100-200 ms,0.06136955694983004,SVM,permutation_average_precision
PO4_100_200ms,PO4,100,200,100-200 ms,0.035625971391447964,SVM,permutation_average_precision
P7_100_200ms,P7,100,200,100-200 ms,0.0,SVM,permutation_average_precision
P8_100_200ms,P8,100,200,100-200 ms,0.0,SVM,permutation_average_precision
O1_100_200ms,O1,100,200,100-200 ms,0.041548735211956234,SVM,permutation_average_precision
O2_100_200ms,O2,100,200,100-200 ms,0.03156472076944239,SVM,permutation_average_precision
PO8_200_300ms,PO8,200,300,200-300 ms,0.020635067925897865,SVM,permutation_average_precision
PO7_200_300ms,PO7,200,300,200-300 ms,0.07136139538468511,SVM,permutation_average_precision
PO3_200_300ms,PO3,200,300,200-300 ms,0.01382473264923545,SVM,permutation_average_precision
PO4_200_300ms,PO4,200,300,200-300 ms,0.0,SVM,permutation_average_precision
P7_200_300ms,P7,200,300,200-300 ms,0.02550837659244387,SVM,permutation_average_precision
P8_200_300ms,P8,200,300,200-300 ms,0.01723072644334578,SVM,permutation_average_precision
O1_200_300ms,O1,200,300,200-300 ms,0.011162870183451412,SVM,permutation_average_precision
O2_200_300ms,O2,200,300,200-300 ms,0.06477036910982714,SVM,permutation_average_precision
PO8_300_400ms,PO8,300,400,300-400 ms,0.03133487528189116,SVM,permutation_average_precision
PO7_300_400ms,PO7,300,400,300-400 ms,0.07360575421286863,SVM,permutation_average_precision
PO3_300_400ms,PO3,300,400,300-400 ms,0.005781895758289024,SVM,permutation_average_precision
PO4_300_400ms,PO4,300,400,300-400 ms,0.12755972405152605,SVM,permutation_average_precision
P7_300_400ms,P7,300,400,300-400 ms,0.01563058029114406,SVM,permutation_average_precision
P8_300_400ms,P8,300,400,300-400 ms,0.03672162839980786,SVM,permutation_average_precision
O1_300_400ms,O1,300,400,300-400 ms,0.0025150400736178025,SVM,permutation_average_precision
O2_300_400ms,O2,300,400,300-400 ms,0.04552859320797775,SVM,permutation_average_precision
PO8_400_500ms,PO8,400,500,400-500 ms,0.23108298641445962,SVM,permutation_average_precision
PO7_400_500ms,PO7,400,500,400-500 ms,0.051788807713413654,SVM,permutation_average_precision
PO3_400_500ms,PO3,400,500,400-500 ms,0.0,SVM,permutation_average_precision
PO4_400_500ms,PO4,400,500,400-500 ms,0.049717566095751065,SVM,permutation_average_precision
P7_400_500ms,P7,400,500,400-500 ms,0.0,SVM,permutation_average_precision
P8_400_500ms,P8,400,500,400-500 ms,0.07252583728171258,SVM,permutation_average_precision
O1_400_500ms,O1,400,500,400-500 ms,0.20600882187980674,SVM,permutation_average_precision
O2_400_500ms,O2,400,500,400-500 ms,0.06324190508584437,SVM,permutation_average_precision
PO8_500_600ms,PO8,500,600,500-600 ms,0.0,SVM,permutation_average_precision
PO7_500_600ms,PO7,500,600,500-600 ms,0.0824280948613969,SVM,permutation_average_precision
PO3_500_600ms,PO3,500,600,500-600 ms,0.0,SVM,permutation_average_precision
PO4_500_600ms,PO4,500,600,500-600 ms,0.24396837212791456,SVM,permutation_average_precision
P7_500_600ms,P7,500,600,500-600 ms,0.04090068790798784,SVM,permutation_average_precision
P8_500_600ms,P8,500,600,500-600 ms,0.0,SVM,permutation_average_precision
O1_500_600ms,O1,500,600,500-600 ms,0.04230463501660142,SVM,permutation_average_precision
O2_500_600ms,O2,500,600,500-600 ms,0.0,SVM,permutation_average_precision
